description,unspsc_code
"Qty: 2, Basmati rice 2kg, Price: $151.06 per unit",50201700
"Line item - Canned tuna 185g, quantity: 2, unit cost: $190.69",50141703
"Qty: 10, Bananas per kg, Price: $172.02 per unit",50192101
"Procured 10 x Organic eggs dozen, unit price: $123.85",50131705
"Line item - Basmati rice 2kg, quantity: 25, unit cost: $225.79",50201700
"Qty: 25, Bananas per kg, Price: $171.55 per unit",50192101
"Order: 12 of Canned tuna 185g, price per item $47.21",50141703
Ordered 1 Organic eggs dozen - $236.87/unit,50131705
"Procured 5 x Organic eggs dozen, unit price: $81.15",50131705
"Billed: Greek yogurt 500g, 10 units @ $4.88",50131708
Ordered 10 Canned tuna 185g - $22.96/unit,50141703
"Line item - Organic eggs dozen, quantity: 10, unit cost: $117.29",50131705
Ordered 2 Greek yogurt 500g - $56.31/unit,50131708
"Delivery note: 12 pcs of Black coffee ground 1kg, unit rate: $198.58",50201709
"Delivery note: 10 pcs of Organic eggs dozen, unit rate: $166.09",50131705
"Procured 1 x Greek yogurt 500g, unit price: $45.28",50131708
"Qty: 1, Black coffee ground 1kg, Price: $234.36 per unit",50201709
"Procured 2 x Black coffee ground 1kg, unit price: $79.52",50201709
"Qty: 3, Greek yogurt 500g, Price: $36.55 per unit",50131708
"Line item - Basmati rice 2kg, quantity: 25, unit cost: $243.54",50201700
"Line item - Black coffee ground 1kg, quantity: 5, unit cost: $66.62",50201709
"Delivery note: 3 pcs of Basmati rice 2kg, unit rate: $235.51",50201700
Invoice for 2 units of Basmati rice 2kg at $185.42 each,50201700
"Delivery note: 10 pcs of Black coffee ground 1kg, unit rate: $235.48",50201709
"Procured 1 x Greek yogurt 500g, unit price: $38.48",50131708
"Delivery note: 5 pcs of Canned tuna 185g, unit rate: $38.94",50141703
Ordered 25 Canned tuna 185g - $126.29/unit,50141703
"Billed: Canned tuna 185g, 1 units @ $214.89",50141703
"Delivery note: 12 pcs of Bananas per kg, unit rate: $20.88",50192101
Invoice for 10 units of Bananas per kg at $208.64 each,50192101
"Line item - Bananas per kg, quantity: 5, unit cost: $101.58",50192101
"Qty: 5, Basmati rice 2kg, Price: $203.98 per unit",50201700
"Procured 2 x Organic eggs dozen, unit price: $220.25",50131705
"Qty: 25, Interior wall primer 5L, Price: $112.66 per unit",31211503
"Line item - Interior wall primer 5L, quantity: 12, unit cost: $180.83",31211503
Ordered 2 Gypsum board 1200x2400mm - $191.71/unit,30161501
"Line item - Galvanized steel beam, quantity: 5, unit cost: $76.21",30102301
"Order: 5 of Gypsum board 1200x2400mm, price per item $241.06",30161501
"Procured 10 x Interior wall primer 5L, unit price: $75.38",31211503
Ordered 25 Galvanized steel beam - $120.84/unit,30102301
"Billed: PVC elbow pipe fitting, 5 units @ $220.75",40142320
"Delivery note: 3 pcs of Insulated copper wire 100m, unit rate: $96.6",26121524
"Order: 2 of Galvanized steel beam, price per item $96.82",30102301
Ordered 1 PVC elbow pipe fitting - $167.76/unit,40142320
"Billed: Galvanized steel beam, 25 units @ $50.74",30102301
"Delivery note: 25 pcs of Galvanized steel beam, unit rate: $161.1",30102301
"Qty: 12, Galvanized steel beam, Price: $188.9 per unit",30102301
"Line item - Galvanized steel beam, quantity: 5, unit cost: $215.54",30102301
"Qty: 1, Interior wall primer 5L, Price: $30.75 per unit",31211503
