description,unspsc_code
Delivery note for 2 pcs of Laptop with 16GB RAM,43211503
Order placed for Interior matte emulsion,31211504
Bought: 10 Copper wire 100m,26121524
Order placed for Steel rebars 10mm,30102307
Bought: 1 Matte latex paint,31211504
Requisition for Electric cable 1.5mm,26121524
Bought: 5 Wall coating white matte,31211504
Shipment includes Rebar rods for concrete,30102307
Requested: Plastic pipe elbow joint,40142320
Order placed for Wireless dual-band router,43222609
Acquired 12 units of 14-inch business laptop,43211503
Line item: PVC elbow 2in,40142320
Order placed for Laptop i7 processor,43211503
Acquired 12 units of Plumbing pipe elbow,40142320
Procurement of White paint 10L,31211504
Order placed for 5L matte paint bucket,31211504
Shipment includes White paint 10L,31211504
Invoice: 5 x Fresh eggs 12-pack,50131705
Delivery note for 25 pcs of Office WiFi router,43222609
Invoice: 12 x Company-issued laptop,43211503
Line item: Interior matte emulsion,31211504
Requested: Plumbing pipe elbow,40142320
Requested: Wireless dual-band router,43222609
Shipment includes Mild steel bars,30102307
Bought: 25 Notebook PC for office,43211503
Line item: Office WiFi router,43222609
Delivery note for 2 pcs of Organic eggs dozen,50131705
Requisition for Matte latex paint,31211504
Bought: 10 Exterior concrete board,30111504
Invoice: 12 x Office WiFi router,43222609
Procurement of Carton of large eggs,50131705
Invoice: 50 x Notebook PC for office,43211503
Order placed for Thai jasmine rice,50201700
Line item: Thai jasmine rice,50201700
Procurement of Plumbing pipe elbow,40142320
Delivery note for 50 pcs of Company-issued laptop,43211503
Delivery note for 10 pcs of Wireless dual-band router,43222609
Procurement of White cheddar slices,50131708
Invoice: 12 x Plumbing pipe elbow,40142320
Requisition for 14-inch business laptop,43211503
Acquired 50 units of Interior matte emulsion,31211504
Requisition for Cheddar wedge 500g,50131708
Line item: Wall slab 2m,30111504
Delivery note for 2 pcs of 14-inch business laptop,43211503
Bought: 1 Rebar rods for concrete,30102307
Order placed for Laptop i7 processor,43211503
Invoice: 25 x Electric cable 1.5mm,26121524
Invoice: 5 x Free-range eggs pack,50131705
Shipment includes Single core insulated cable,26121524
Delivery note for 10 pcs of Electric cable 1.5mm,26121524
Requisition for Gigabit router 5GHz,43222609
Requested: Notebook PC for office,43211503
Bought: 12 Wireless dual-band router,43222609
Requested: Matte latex paint,31211504
Requested: Laptop with 16GB RAM,43211503
Order placed for Mild steel bars,30102307
Line item: 5L matte paint bucket,31211504
Bought: 12 Electric cable 1.5mm,26121524
Line item: Organic eggs dozen,50131705
Order placed for Long grain rice 4kg,50201700
Shipment includes Steamed white rice,50201700
Order placed for Carton of large eggs,50131705
Order placed for Steamed white rice,50201700
Requisition for Interior matte emulsion,31211504
Invoice: 5 x White cheddar slices,50131708
Order placed for Organic eggs dozen,50131705
Procurement of Copper wire 100m,26121524
Order placed for Copper wire 100m,26121524
Shipment includes Interior matte emulsion,31211504
Shipment includes Organic eggs dozen,50131705
Procurement of White cheddar slices,50131708
Delivery note for 10 pcs of Drainage elbow 50mm,40142320
Invoice: 2 x Flexible copper wire,26121524
Procurement of Plastic pipe elbow joint,40142320
Acquired 1 units of Copper wire 100m,26121524
Line item: Steel rods for foundation,30102307
Procurement of Electric cable 1.5mm,26121524
Order placed for Notebook PC for office,43211503
Shipment includes Notebook PC for office,43211503
Bought: 12 Concrete wall section,30111504
Order placed for Steel rods for foundation,30102307
Requisition for Heavy panel for construction,30111504
Acquired 2 units of Plastic pipe elbow joint,40142320
Invoice: 25 x Drainage elbow 50mm,40142320
Acquired 50 units of Drainage elbow 50mm,40142320
Line item: Laptop with 16GB RAM,43211503
Order placed for Precast wall panel,30111504
Delivery note for 2 pcs of Matte latex paint,31211504
Requested: Wireless dual-band router,43222609
Line item: Plastic pipe elbow joint,40142320
Bought: 50 House wiring cable,26121524
Requisition for Copper wire 100m,26121524
Delivery note for 1 pcs of Notebook PC for office,43211503
Invoice: 5 x Company-issued laptop,43211503
Requested: Plumbing pipe elbow,40142320
Delivery note for 12 pcs of Office WiFi router,43222609
Procurement of Fresh eggs 12-pack,50131705
Procurement of Steamed white rice,50201700
Delivery note for 2 pcs of Office WiFi router,43222609
Shipment includes Free-range eggs pack,50131705
Order placed for Steel rebars 10mm,30102307
Procurement of Cheddar wedge 500g,50131708
Requisition for WiFi 6 router,43222609
Procurement of Long grain rice 4kg,50201700
Acquired 2 units of Wireless dual-band router,43222609
Acquired 50 units of White paint 10L,31211504
Bought: 25 Flexible copper wire,26121524
Invoice: 50 x Sliced cheddar cheese,50131708
Procurement of White cheddar slices,50131708
Requested: Gigabit router 5GHz,43222609
Shipment includes Block of cheddar 1kg,50131708
Requested: 10mm construction steel,30102307
Delivery note for 50 pcs of Fresh eggs 12-pack,50131705
Procurement of Interior matte emulsion,31211504
Acquired 5 units of Wall coating white matte,31211504
