unspsc_code,level,sub_category,description
501017,CLASS,GS_FOOD,Nuts and seeds
501025,CLASS,GS_FOOD,Nuts excluding wild edible nuts and groundnuts
501115,CLASS,GS_FOOD,Minimally processed meat and poultry products
501120,CLASS,GS_FOOD,Processed meat and poultry products
501215,CLASS,GS_FOOD,Fish
501216,CLASS,GS_FOOD,Shellfish
501217,CLASS,GS_FOOD,Aquatic invertebrates
501218,CLASS,GS_FOOD,Aquatic plants
501219,CLASS,GS_FOOD,Salt preserved seafoods
501220,CLASS,GS_FOOD,Wild caught fish
501221,CLASS,GS_FOOD,Farm raised fish
501224,CLASS,GS_FOOD,Wild caught shellfish
501225,CLASS,GS_FOOD,Farm raised shellfish
501316,CLASS,GS_FOOD,Eggs and egg substitutes
501317,CLASS,GS_FOOD,Milk and butter products
501318,CLASS,GS_FOOD,Cheese
501515,CLASS,GS_FOOD,Edible vegetable and plant oils and fats
501516,CLASS,GS_FOOD,Edible animal oils and fats
501517,CLASS,GS_FOOD,Vegetable waxes
501615,CLASS,GS_FOOD,Chocolate and sugars and sweetening products
501618,CLASS,GS_FOOD,Confectionary products
501619,CLASS,GS_FOOD,Sugar products
501715,CLASS,GS_FOOD,Herbs and spices and extracts
501717,CLASS,GS_FOOD,Vinegars and cooking wines
501718,CLASS,GS_FOOD,Sauces and spreads and condiments
501719,CLASS,GS_FOOD,Pickles and relish and olives
501720,CLASS,GS_FOOD,Fermented soybean products
501817,CLASS,GS_FOOD,Baking mixes and supplies
501819,CLASS,GS_FOOD,Bread and biscuits and cookies
501820,CLASS,GS_FOOD,Cakes and pies and pastries
501915,CLASS,GS_FOOD,Prepared soups and stews
501921,CLASS,GS_FOOD,Snack foods
501923,CLASS,GS_FOOD,Desserts and dessert toppings
501924,CLASS,GS_FOOD,Jams and jellies and nut and sweet spreads and fruit conserves
501925,CLASS,GS_FOOD,Sandwiches and filled rolls
501926,CLASS,GS_FOOD,Prepared side dishes
501927,CLASS,GS_FOOD,Packaged combination meals
501928,CLASS,GS_FOOD,Savory pies and quiches and pasties
