description,unspsc_code
Procurement request for Grapefruit,503033
Ordered Breadfruit,503023
Received delivery of Nectarine purees,503854
Invoice includes: Dried rhubarb,503263
Invoice includes: Melon purees,503851
Restock: Dried kumquats,503240
Procurement request for Springs,311619
Needed for project: Canned or jarred grapefruit,503633
Procurement request for Canned or jarred garlics,504638
Warehouse input: Frozen kale,504442
Used in construction: Frozen barberries,503418
Ordered Dried celery,504227
Ordered Zinc ingots strips billets and coil,302629
Procurement request for Onions,504053
Invoice includes: Chokeberry purees,503876
Invoice includes: Frozen nectarines,503449
Needed for project: Frozen citrons,503426
Warehouse input: Currant purees,503832
Ordered Braid,301037
Needed for project: Canned or jarred leeks,504644
Invoice includes: Bolts,311616
Needed for project: Sanitary ware,301815
Used in construction: Concrete and mortars,301115
Invoice includes: Frozen tamarillo,503469
Used in maintenance: Canned or jarred breadfruit,503623
Warehouse input: Blueberries,503022
Received delivery of Processed cereals,502212
Ordered Dried mushrooms,504248
Restock: Fast moving consumer goods,502033
Used in construction: Kumquat purees,503844
Retail stock: Channels,301018
Received delivery of Dried bilberries,503221
Restock: Leeks,504044
Invoice includes: Mulberries,503047
Retail stock: Tin sheet,302631
Procurement request for Frozen chinese cabbages,504430
Procurement request for Saskatoon berries,503066
Used in construction: Blocks,301315
Procurement request for Olives,503072
Retail stock: Pomelos,503060
Retail stock: Frozen artichokes,504415
Warehouse input: Copper sheets,302623
Received delivery of Flour tortillas,501933
Ordered Lettuces,504046
Used in maintenance: Dried pears,503254
Needed for project: Frozen peanuts,504453
Procurement request for Frozen beets,504419
Used in construction: Frozen peanuts,504453
Procurement request for Dried onions,504252
Needed for project: Pickles and relish and olives,501719
Received delivery of Frozen winter squashes and winter pumpkins,504466
Warehouse input: Apricots,503016
Retail stock: Dried cresses,504233
Warehouse input: Canned or jarred potatoes,504656
Invoice includes: Frozen lentils,504445
Procurement request for Precious metal and specialty metal sheets,302661
Ordered Bread and biscuits and cookies,501819
Invoice includes: Wood structural materials,302663
Received delivery of Plastic coil and strips,302659
Procurement request for Tamarillo,503069
Invoice includes: Canned or jarred rutabagas,504657
Procurement request for Dried rhubarb,503263
Used in construction: Copper sheets,302623
Received delivery of Fresh berry juice or concentrate,502025
Used in maintenance: Dried barberries,503218
Retail stock: Herbs,504041
Restock: Frozen sapotes,503465
Retail stock: Thermoset plastics,131019
Retail stock: Mulberry purees,503852
Invoice includes: Frozen okras,504451
Received delivery of Wood,042686
Procurement request for Sugar apple purees,503873
Warehouse input: Guava purees,503841
Restock: Dried blackberries,503220
Needed for project: Dried loquats,503243
Invoice includes: Rosins,131111
Restock: Frozen nominant fruits,503470
Used in maintenance: Lime purees,503846
Used in construction: Dried rose hips,503264
Received delivery of Dried nominant fruits,503270
Needed for project: Surface,301521
Invoice includes: Dried grapefruit,503233
Retail stock: Canned or jarred celery,504627
Ordered Forestry byproducts,043051
Invoice includes: Fresh berry juice or concentrate,502025
Ordered Removable storage media,432020
Retail stock: Frozen lentils,504445
Used in construction: Strawberry purees,503872
Received delivery of Dried breadfruit,503223
Procurement request for Canned or jarred chicories,504629
Invoice includes: Canned or jarred sorrels,504660
Warehouse input: Green peas,504040
Retail stock: Channels,301018
Invoice includes: Frozen blackberries,503420
