description,unspsc_code
Procurement of Canned or jarred mandarin oranges or tangerines,503644
Order for Canned or jarred dragonfruit,503630
Restocking Spice crop seeds and seedlings,043388
Invoice lists Frozen plucots,503457
Invoice lists Thermal insulation,301415
Received shipment: Winter squashes and winter pumpkins,504067
Procurement of Aluminum bars,302649
Retail stock: Dried mandarin oranges or tangerines,503244
Procurement of Canned or jarred chokeberries,503671
Warehouse received: Frozen chives,504431
Used in repairs: Onions,504053
Order for Nails,311620
Order for Dried beets,504219
Procurement of Cherimoyas purees,503828
Invoice lists Frozen barberries,503418
Invoice lists Canned or jarred avocados,504617
Retail stock: Computer displays,432119
Warehouse received: Aluminum bars,302649
Order for Bilberry purees,503825
Retail stock: Slip sheets,241130
Invoice lists Frozen mushrooms,504448
Retail stock: Canned or jarred chokeberries,503671
Used in repairs: Frozen beans,504418
Invoice lists Forestry byproducts,043051
Construction supply: Ceiling materials,301616
Warehouse received: Plate,301022
Restocking Dried myrtle,503248
Order for Gates,301720
Received shipment: Copper ingots strip billets and coil,302624
Used in repairs: Aggregates,301118
Inventory includes Hollow structural sections HSS,301040
Restocking Frozen cardoons,504424
Received shipment: Tamarillo,503069
Invoice lists Profiles,301023
Inventory includes Dried brussel sprouts,504221
Procurement of Bolts,311616
Procurement of Dried onions,504252
Used in repairs: Nails,311620
Procurement of Dried asparagus,504216
Inventory includes Fresh drupe or stone fruit juice or concentrate,502027
Inventory includes Tin bars,302630
Warehouse received: Fresh citrus juice or concentrate,502024
Restocking Frozen brussel sprouts,504421
Order for Prepared salads,501932
Construction supply: Structural products,301036
Retail stock: Frozen celery,504427
Procurement of Dried yams,504267
Used in repairs: Infant foods and beverages,501930
Procurement of Dried wine grapes,503236
Retail stock: Frozen figs,503431
Restocking Canned or jarred gourds,504639
Warehouse received: Frozen spinaches,504461
Inventory includes Milk and butter products,501317
Warehouse received: Canned or jarred cresses,504633
Invoice lists Canned or jarred lettuces,504646
Procurement of Grapefruit,503033
Order for Aquatic invertebrates,501217
Invoice lists Frozen chokeberries,503471
Restocking Canned or jarred winter squashes and winter pumpkins,504666
Procurement of Specialized external flooring and paving materials,301220
Invoice lists Frozen tomatoes,504464
Procurement of Pulses,502210
Used in repairs: Wine grapes,503036
Restocking Frozen figs,503431
Construction supply: Dried limes,503242
Inventory includes Plasters,301117
Received shipment: Pickles and relish and olives,501719
Inventory includes Canned or jarred guavas,503637
Inventory includes Frozen shallots,504459
Invoice lists Nominant fruit purees,503875
Restocking Sugar apple purees,503873
Procurement of Shafting,302667
Warehouse received: Frozen celery,504427
Received shipment: Canned or jarred chinese cabbages,504630
Retail stock: Removable storage media,432020
Invoice lists Herbs,504041
Received shipment: Tool steel bars,302638
Construction supply: Dried barberries,503218
Used in repairs: Orange purees,503855
Restocking Thermal insulation,301415
Retail stock: Canned or jarred kiwi fruit,503639
Invoice lists Cherimoyas,503024
Inventory includes Beams,301017
Order for Dried sea vegetables,504258
Invoice lists Nuts and seeds,501017
Order for Canned or jarred nectarines,503649
Inventory includes Dried mulberries,503247
Used in repairs: Computer printers,432121
Restocking Plastic bars and sheets,302658
Procurement of Frozen asparagus,504416
Invoice lists Cereal seeds,042658
Warehouse received: Snack foods,501921
Inventory includes Canned or jarred cabbages,504623
Invoice lists Persimmons,503055
Construction supply: Profiles,301023
Used in repairs: Fast moving consumer goods,502033
Construction supply: Dried barberries,503218
Received shipment: Fresh vegetable juice or concentrate,502031
Restocking Blueberries,503022
Received shipment: Fennels,504037
Invoice lists Malanga,504047
Retail stock: Canned or jarred nectarines,503649
Retail stock: Bottles or vials,241220
Restocking Corrugated and other supplies for distribution,241125
Warehouse received: Stone,042685
Used in repairs: Canned or jarred beans,504618
Warehouse received: Vegetable seeds and seedlings,042292
Used in repairs: Frozen nominant vegetables,504468
Inventory includes Canned or jarred raisin grapes,503635
Invoice lists System boards processors interfaces or modules,432015
Received shipment: Canned or jarred olives,503672
Retail stock: Avocados,504017
Construction supply: Citrons,503026
Procurement of Fresh pome fruit juice or concentrate,502026
Order for Gourds,504039
Procurement of Sea vegetables,504059
Received shipment: Mustards,504049
Received shipment: Frozen carrots,504425
Used in repairs: Pallets,241127
Warehouse received: Passion fruit,503052
Procurement of Canned or jarred nectarines,503649
Used in repairs: Olive purees,503877
Used in repairs: Melon purees,503851
Warehouse received: Frozen kumquats,503440
Construction supply: Zinc bars and sheets,302628
Retail stock: Iron sheets,302654
Restocking Legume seeds and seedlings,045214
Retail stock: Dried huckleberries,503238
Order for Kiwi fruit,503039
Procurement of Frozen corn,504432
Retail stock: Dried tamarillo,503269
Restocking Beams,301017
Inventory includes Canned or jarred cardoons,504624
Procurement of Dried olives,503272
Restocking Bins and baskets,241120
Used in repairs: Dried yams,504267
Received shipment: Cherry purees,503829
Construction supply: Soil stabilizers and reinforcing materials,301219
Order for Copper bars,302622
Restocking Magnesium bars and sheets,302618
Retail stock: Packaged combination meals,501927
Received shipment: Canned or jarred gourds,504639
Retail stock: Frozen raspberries,503462
Procurement of Passion fruit,503052
Restocking Kiwi fruit purees,503843
Retail stock: Canned or jarred bilberries,503621
Warehouse received: Frozen sorrels,504460
Invoice lists Canned or jarred mustards,504649
Received shipment: Dried carrots,504225
Inventory includes Canned or jarred green peas,504640
Received shipment: Chokeberries,503071
Retail stock: Frozen rutabagas,504457
Retail stock: Kumquat purees,503844
Order for Gooseberry purees,503836
Warehouse received: Plums,503058
Inventory includes Rain gutters and accessories,301517
Construction supply: Canned or jarred gooseberries,503632
Order for Canned or jarred cardoons,504624
Procurement of Huckleberries,503038
Inventory includes Frozen gourds,504439
Restocking Cabinetry,301618
Invoice lists Clays,043415
Order for Tamarillo,503069
Invoice lists Barberries,503018
Warehouse received: Canned or jarred onions,504652
Procurement of Dried chicories,504229
Procurement of Canned or jarred peas,504654
Construction supply: Canned or jarred mustards,504649
Procurement of Canned or jarred bayberries or myrtles,503648
Retail stock: Ferrous alloy bars and sheets,302656
Received shipment: Specialty material coil strips billets and ingots,302665
Received shipment: Nectarines,503049
Construction supply: Frozen sugar peas,504469
Retail stock: Papayas,503051
Received shipment: Canned or jarred pomegranates,503659
Restocking Dried shallots,504259
Retail stock: Metallic fibers and filaments,301038
Warehouse received: Precious metals,043414
Used in repairs: Window frames,301719
Invoice lists Fermented soybean products,501720
Retail stock: Dried artichokes,504215
Invoice lists Stainless steel coil,302647
Restocking Canned or jarred cresses,504633
Used in repairs: Dried oranges,503250
Inventory includes Nectarines,503049
Construction supply: Stairs and stairways,301621
Retail stock: Dried carrots,504225
Construction supply: Sugar apple,503068
Procurement of Aquatic plants,501218
Invoice lists Nickel sheets and ingots,302666
Invoice lists Canned or jarred cherries,503625
Procurement of Chicories,504029
Inventory includes Removable storage media accessories,432021
Order for Canned or jarred chives,504631
Warehouse received: Flour tortillas,501933
Retail stock: Canned or jarred fennels,504637
Invoice lists Rain gutters and accessories,301517
Warehouse received: Raspberry purees,503867
Invoice lists Dried papayas,503251
Order for Mangoes,503045
Procurement of Saskatoon berries,503066
Order for Canned or jarred olives,503672
Invoice lists Grass and forage seeds and seedlings,043023
Procurement of Canned or jarred nominant fruits,503670
Order for Fibrous crop seeds and seedlings,044849
Inventory includes Pickles and relish and olives,501719
Procurement of Canned or jarred mandarin oranges or tangerines,503644
Retail stock: Personal communications device accessories or parts,431916
Invoice lists Breadfruit purees,503827
Restocking Frozen cardoons,504424
Construction supply: Canned or jarred blueberries,503622
Invoice lists Canned or jarred cresses,504633
Retail stock: Dried pineapples,503256
Received shipment: Rutabagas,504058
Warehouse received: Rain gutters and accessories,301517
Warehouse received: Frozen chokeberries,503471
Construction supply: Thermoplastic plastics,131020
Invoice lists Specialty steel coils,302643
Construction supply: Lentils,504045
Used in repairs: Guavas,503037
Invoice lists Frozen chives,504431
Procurement of Frozen summer squashes and summer pumpkins,504462
Procurement of Dried citrons,503226
Used in repairs: Canned or jarred pomelos,503660
Inventory includes Frozen potatoes,504456
Used in repairs: Canned or jarred celery,504627
Used in repairs: Canned or jarred carrots,504625
Construction supply: Canned or jarred melons,503646
Order for Road and railroad construction materials,301217
Procurement of Dried endives,504236
Order for Canned or jarred wine grapes,503636
Used in repairs: Frozen guavas,503437
Inventory includes Frozen kumquats,503440
Procurement of Computer displays,432119
Invoice lists Brass sheets,302616
Invoice lists Cereals,502211
Invoice lists Grapefruit,503033
Retail stock: Canned or jarred tomatoes,504664
Construction supply: Dried endives,504236
Received shipment: Screws,311615
Used in repairs: Canned or jarred celery,504627
Received shipment: Dried apricots,503216
Restocking Frozen olives,503472
Construction supply: Canned or jarred grapefruit,503633
Invoice lists Packaging boxes and bags and pouches,241215
Procurement of Packaging boxes and bags and pouches,241215
Construction supply: Canned or jarred figs,503631
Retail stock: Canned or jarred fennels,504637
Procurement of Dried asparagus,504216
Order for Green peas,504040
Retail stock: Chicories,504029
Order for Frozen summer squashes and summer pumpkins,504462
Procurement of Canned or jarred beets,504619
Invoice lists Frozen dates,503429
Received shipment: Farm raised shellfish,501225
Used in repairs: Edible animal oils and fats,501516
Construction supply: Landscape architecture materials,301218
Construction supply: Frozen chards,504428
Invoice lists Underground roof support structures,302515
Used in repairs: Canned or jarred rutabagas,504657
Order for Canned or jarred eggplants,504635
Received shipment: Dried bilberries,503221
Used in repairs: Frozen bananas,503417
Order for Canned or jarred quinces,503661
Used in repairs: Ceiling materials,301616
Restocking Bearberries,503019
Construction supply: Frozen sugar peas,504469
Restocking Canned or jarred kiwi fruit,503639
Used in repairs: Sugar products,501619
Retail stock: Dried myrtle,503248
Construction supply: Mandarin oranges or tangerine purees,503848
Received shipment: Canned or jarred summer squashes and summer pumpkins,504662
Invoice lists Frozen sapotes,503465
Restocking Canned or jarred rutabagas,504657
Invoice lists Gooseberry purees,503836
Order for Baking mixes and supplies,501817
Warehouse received: Storage chests and cabinets and trunks,241124
Retail stock: Animal hides and skins and animal textile materials,042321
Order for Canned or jarred oranges,503650
Inventory includes Fresh berry juice or concentrate,502025
Order for Canned or jarred cauliflowers,504626
Order for Dried sorrels,504260
Warehouse received: Frozen mustards,504449
Construction supply: Precious metals,043414
Retail stock: Melons,503046
Retail stock: Cans and pails,241122
Received shipment: Pomegranate purees,503864
